source	log	path	corpus	corpus_bytes	iters	mode	warmup_iters	elapsed_s	ns_per_byte	mbps	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
p1b	real_typed_track2__github_events.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__github_events.log	github_events	65132	9213	real_typed_track2	0	0.709036	1.181607	6770.441	1901581591	8098410837	3.168980	0.234809	15731489	358245	5164854789897046116
p1b	real_typed_track2__gsoc-2018.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__gsoc-2018.log	gsoc-2018	3327831	181	real_typed_track2	0	2.370778	3.935963	2032.539	3827930214	8130193005	6.355126	0.470829	42185172	1367407	17588957560949363005
p1b	real_typed_track2__instruments.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__instruments.log	instruments	220346	2723	real_typed_track2	0	1.918645	3.197729	2501.775	2303724471	11115996627	3.839527	0.207244	36540609	1880286	6053947005340795886
p1b	real_typed_track2__marine_ik.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__marine_ik.log	marine_ik	2983466	202	real_typed_track2	0	1.566086	2.598622	3078.554	2509955247	12274219562	4.164794	0.204490	30109504	1133680	0
p1b	real_typed_track2__mesh.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__mesh.log	mesh	723597	830	real_typed_track2	0	1.078865	1.796355	4453.463	2866435594	17974587260	4.772735	0.159472	23932932	554060	0
p1b	real_typed_track2__numbers.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__numbers.log	numbers	150124	3997	real_typed_track2	0	3.334667	5.557356	1439.533	3149107336	13889501816	5.248113	0.226726	53066888	3121981	7821342331123428551
p1b	real_typed_track2__random.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__random.log	random	510476	1176	real_typed_track2	0	2.580522	4.298579	1861.080	5662230488	24035230329	9.432024	0.235580	54235904	1981440	0
p1b	real_typed_track2__twitter.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__twitter.log	twitter	631515	951	real_typed_track2	0	0.329602	0.548815	14576.866	1321955006	5765958210	2.201164	0.229269	7500027	120919	17794062064648910603
p1b	real_typed_track2__unicode_basic.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__unicode_basic.log	unicode_basic	1048586	573	real_typed_track2	0	2.423010	4.032706	1983.780	6182989089	25556648840	10.290579	0.241933	53977772	1203256	7152685547856090394
p1b	real_typed_track2__unicode_escapes.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__unicode_escapes.log	unicode_escapes	1050797	571	real_typed_track2	0	2.428621	4.047668	1976.447	4972932600	13874192894	8.288151	0.358430	52571956	1621816	4835405340194808800
