artifact_kind	path	exists	bytes	sidecar_path	sidecar_exists	sidecar_bytes	log_path	log_exists
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__unicode_escapes.json.gz	true	46391	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__unicode_escapes.json.syms.json	true	8720	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__unicode_escapes.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__unicode_mixed.json.gz	true	37966	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__unicode_mixed.json.syms.json	true	10787	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__unicode_mixed.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__update_center.json.gz	true	21674	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__update_center.json.syms.json	true	13687	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__update_center.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__y_string_unicode.json.gz	true	57845	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__y_string_unicode.json.syms.json	true	7384	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__y_string_unicode.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__apache_builds.json.gz	true	34915	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__apache_builds.json.syms.json	true	15581	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__apache_builds.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__canada.json.gz	true	96242	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__canada.json.syms.json	true	22677	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__canada.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__citm_catalog.json.gz	true	16699	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__citm_catalog.json.syms.json	true	17915	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__citm_catalog.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__distinct_values.json.gz	true	95513	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__distinct_values.json.syms.json	true	13043	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__distinct_values.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__github_events.json.gz	true	27908	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__github_events.json.syms.json	true	20993	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__github_events.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__gsoc-2018.json.gz	true	29203	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__gsoc-2018.json.syms.json	true	18612	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__gsoc-2018.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__instruments.json.gz	true	32999	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__instruments.json.syms.json	true	23761	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__instruments.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__marine_ik.json.gz	true	20879	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__marine_ik.json.syms.json	true	23074	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__marine_ik.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__mesh.json.gz	true	27201	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__mesh.json.syms.json	true	18368	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__mesh.log	true
